trial,color,moral,words_id,words
187,5,2,27,Ё╜о╝
188,5,2,28,Лер╚
189,5,2,29,╦╞╟э
190,5,2,30,фГйс
191,5,2,31,м╣гт
192,5,2,32,брбв
193,5,2,33,╤Я╤╬
194,5,2,34,г©╪И
195,5,2,35,╠Ёея
196,5,2,36,гю╫ы
197,5,2,37,╥л╟Ы
198,5,2,38,втк╫
199,5,2,39,рУоу
200,5,2,40,╠╟ас
